original_text,cleaned_text,predicted_sentiment,sentiment_score,topic,topic_score,sentiment_trigger,topic_trigger,timestamp
"RT @NexusLabs: A small group of cryptographers and engineers has expanded into a rapidly scaling ecosystem. 

Nexus now counts nearly 100 p…",A small group of cryptographers and engineers has expanded into a rapidly scaling ecosystem. Nexus now counts nearly 100 p…,positive,0.586764395236969,community,0.2190067172050476,congratulations,nexus,2025-09-23T17:00:00.013116
"$IBIT clean $BTC exposure.
$FSLR solar leader, IRA policy beneficiary.
$AVGO AI/datacenter + $AAPL Apple exposure.
$NBIS AI/cloud services microcap, illiquid. https://t.co/R0Va02nCAF","$IBIT clean $BTC exposure. $FSLR solar leader, IRA policy beneficiary. $AVGO AI/datacenter + $AAPL Apple exposure. $NBIS AI/cloud services microcap, illiquid.",neutral,0.6160440444946289,cryptocurrency,0.32623109221458435,illiquid.,ibit,2025-09-23T17:00:13.031595
@itzdezydank @Everlyn_ai Bullish on Everlyn,itzdezydank Everlyn_ai Bullish on Everlyn,neutral,0.7533937096595764,ai,0.4083687365055084,everlyn,everlyn_ai,2025-09-23T17:00:20.964869
"RT @luk4u8: $TAO is positioning itself as the proof of intelligence layer, rewarding real contributions in AI reasoning.
@inspectxyz

$TAO…","$TAO is positioning itself as the proof of intelligence layer, rewarding real contributions in AI reasoning. inspectxyz $TAO…",positive,0.8922500014305115,technology,0.17566044628620148,satisfying,tao,2025-09-23T17:00:31.694004
"@Web3_sonu @Everlyn_ai @jointheparti Everlyn AI making moves, but Parti sounds like the real afterparty .","Web3_sonu Everlyn_ai jointheparti Everlyn AI making moves, but Parti sounds like the real afterparty .",neutral,0.8776565790176392,ai,0.5164998173713684,afterparty,parti,2025-09-23T17:00:42.845154
"RT @bittensor_: Wrapped TAO (wTAO) Airdrop is LIVE 

$1,498,378 in wTAO tokens for our community. 

2 years of bridging Bittensor's neural…","Wrapped TAO (wTAO) Airdrop is LIVE $1,498,378 in wTAO tokens for our community. 2 years of bridging Bittensor's neural…",positive,0.5109774470329285,community,0.30550888180732727,satisfying,airdrop,2025-09-23T17:00:56.384578
"RT @OluGb7: AI already touches our lives in countless ways.
@AutonomysNet is laying the foundation for AI3.0 with open, verifiable, human-c…","AI already touches our lives in countless ways. AutonomysNet is laying the foundation for AI3.0 with open, verifiable, human-c…",positive,0.8256555795669556,technology,0.37529322504997253,gain,autonomysnet,2025-09-23T17:01:11.514947
Erika Kirk steps into the spotlight https://t.co/kRHGKI6qzA,Erika Kirk steps into the spotlight,neutral,0.8626623153686523,ai,0.20630086958408356,spotlight,erika,2025-09-23T17:01:21.630274
"I’m a simple guy

I Yap @AlloraNetwork

I talk about the intelligence layer of AI

I engage every Allora related post I get to see on the TL today even though they don’t engage mine

Say gML and repeat 

Pass it on. https://t.co/lYuAiByggI https://t.co/6Qc07xc779",I’m a simple guy I Yap AlloraNetwork I talk about the intelligence layer of AI I engage every Allora related post I get to see on the TL today even though they don’t engage mine Say gML and repeat Pass it on.,neutral,0.5357438325881958,social media,0.29223671555519104,on.,tl,2025-09-23T17:01:36.503251
"RT @NQCiao: The integration of Base, BNB, Polygon, Arbitrum, and Celo into Sentient AGI’s GRID is a major milestone. GRID is not just an en…","The integration of Base, BNB, Polygon, Arbitrum, and Celo into Sentient AGI’s GRID is a major milestone. GRID is not just an en…",positive,0.9026263952255249,technology,0.15117686986923218,outstanding,grid,2025-09-23T17:01:51.105307
@_milanooJNR @AlloraNetwork @AlloraLabsHQ @nick_emmons @roshpatel_ Seeing AI actually manage energy like this makes the grid feel less like tech and more like a living system.,_milanooJNR AlloraNetwork AlloraLabsHQ nick_emmons roshpatel_ Seeing AI actually manage energy like this makes the grid feel less like tech and more like a living system.,neutral,0.8127695918083191,ai,0.15043877065181732,system.,energy,2025-09-23T17:02:07.252202
